-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: latitude  32.9348   longitude 72.8576 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 448.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface Total PAR (kW-hr/m^2/day) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PSC                     MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
WSC                     MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Crop: 20-m broadleaf-deciduous trees (10%) & wheat (vegtype_12) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_PAR_TOT,T2M,T2M_MAX,T2M_MIN,TS,T2MWET,RH2M,PRECTOTCORR,T2MDEW,WS10M,WS10M_MAX,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,QV2M,PSC,WSC
2000,1,18,1.13,3.81,-999.0,1.2,-999.0,0.62,12.39,22.05,5.72,11.86,6.46,47.13,0.01,0.53,3.26,3.81,96.74,7.9,-999.0,4.17,90.96,3.39
2000,1,19,3.84,3.81,-999.0,0.92,-999.0,1.77,13.1,21.55,8.29,12.67,8.3,55.96,0.04,3.51,3.55,4.23,96.39,6.79,-999.0,5.11,90.64,3.42
2000,1,20,3.58,3.75,-999.0,1.23,-999.0,1.7,11.43,21.46,6.86,9.84,6.1,51.51,0.0,0.78,2.83,3.28,95.95,7.07,-999.0,4.24,90.2,2.66
2000,1,21,3.8,3.87,-999.0,0.97,-999.0,1.76,12.0,19.84,4.79,9.78,5.03,40.58,0.0,-1.93,2.44,3.32,96.05,6.78,-999.0,3.51,90.31,2.05
2000,1,22,2.89,3.8,-999.0,1.81,-999.0,1.4,12.93,21.23,6.61,12.44,8.41,56.84,0.0,3.9,2.33,3.9,96.43,7.56,-999.0,5.25,90.68,2.37
2000,1,23,3.97,3.88,-999.0,0.98,-999.0,1.83,12.75,21.52,7.0,11.8,7.49,52.46,0.0,2.24,2.78,3.29,96.44,6.59,-999.0,4.66,90.69,2.5
2000,1,24,2.87,3.83,-999.0,2.28,-999.0,1.4,13.61,21.78,7.21,12.19,7.68,47.3,0.02,1.74,2.28,3.5,96.45,7.57,-999.0,4.55,90.71,2.04
2000,1,25,1.76,3.75,-999.0,1.64,-999.0,0.85,12.76,20.06,8.21,12.81,9.6,68.04,1.22,6.44,3.35,4.72,96.63,7.99,-999.0,6.25,90.87,3.46
2000,1,26,3.23,3.8,-999.0,2.75,-999.0,1.51,11.56,17.81,6.76,11.52,7.89,63.68,0.0,4.23,1.75,3.0,96.82,6.96,-999.0,5.34,91.02,1.71
2000,1,27,4.22,3.91,-999.0,1.06,-999.0,1.87,10.9,19.28,4.99,10.69,6.4,57.22,0.0,1.89,2.84,4.85,96.8,6.35,-999.0,4.52,90.99,2.67
2000,1,28,4.13,3.73,-999.0,1.28,-999.0,1.87,10.75,20.09,4.77,10.15,4.38,45.41,0.0,-1.99,4.34,6.16,96.84,6.37,-999.0,3.41,91.03,4.25
2000,1,29,3.75,3.95,-999.0,1.97,-999.0,1.77,12.52,23.8,4.62,11.48,4.97,39.01,0.0,-2.57,3.68,4.41,96.56,7.23,-999.0,3.31,90.79,3.58
2000,1,30,4.17,3.73,-999.0,1.1,-999.0,1.92,14.42,25.11,6.5,12.87,6.81,39.51,0.0,-0.79,2.63,3.36,96.35,6.83,-999.0,3.82,90.63,2.42
2000,1,31,1.86,4.31,-999.0,1.72,-999.0,0.87,11.44,17.95,7.66,10.88,6.6,54.02,13.97,1.76,4.67,7.62,96.08,8.39,-999.0,4.6,90.32,4.39
2000,2,1,3.78,4.26,-999.0,1.61,-999.0,1.77,11.75,17.96,6.78,10.37,8.11,63.07,15.62,4.47,2.77,4.66,95.88,7.17,-999.0,5.49,90.14,2.49
2000,2,2,3.36,4.17,-999.0,2.22,-999.0,1.62,10.31,16.23,4.95,8.96,6.09,57.89,0.02,1.87,2.6,3.31,96.34,6.97,-999.0,4.54,90.55,2.35
2000,2,3,4.48,4.37,-999.0,1.05,-999.0,2.0,12.12,19.18,5.33,10.52,6.5,49.13,0.0,0.89,2.19,3.08,96.55,6.8,-999.0,4.23,90.78,1.87
2000,2,4,2.63,4.38,-999.0,2.2,-999.0,1.24,10.58,15.03,7.67,9.09,6.59,58.68,0.66,2.59,1.94,3.64,96.22,7.53,-999.0,4.79,90.44,1.78
2000,2,5,4.52,4.39,-999.0,1.13,-999.0,2.02,10.24,18.17,4.57,10.44,6.77,66.76,0.1,3.29,2.99,5.12,96.0,6.66,-999.0,5.08,90.22,2.85
2000,2,6,4.22,4.4,-999.0,2.05,-999.0,1.93,10.77,18.41,6.37,11.38,8.02,72.48,0.0,5.28,2.33,3.79,96.42,6.61,-999.0,5.77,90.63,2.09
2000,2,7,4.56,4.44,-999.0,1.13,-999.0,2.06,11.92,20.4,4.01,10.98,6.39,50.25,0.0,0.85,2.35,3.82,96.3,6.46,-999.0,4.22,90.54,2.18
2000,2,8,4.41,4.41,-999.0,1.87,-999.0,1.99,11.3,17.78,5.21,10.16,6.2,52.02,0.0,1.1,2.0,3.36,96.24,6.99,-999.0,4.31,90.47,1.8
2000,2,9,1.79,4.56,-999.0,1.69,-999.0,0.85,9.58,14.71,6.03,9.49,6.97,71.79,2.85,4.36,2.96,4.56,96.37,8.33,-999.0,5.43,90.55,2.83
2000,2,10,3.94,4.59,-999.0,2.89,-999.0,1.84,9.42,13.86,4.92,9.43,7.65,80.01,3.28,5.88,1.95,3.11,96.05,7.38,-999.0,6.03,90.25,1.88
2000,2,11,4.59,4.63,-999.0,1.9,-999.0,2.06,9.14,14.88,4.98,9.43,7.03,77.74,3.01,4.93,1.92,3.1,96.06,6.59,-999.0,5.68,90.26,1.75
2000,2,12,4.42,4.66,-999.0,2.08,-999.0,1.97,9.03,15.08,4.18,8.72,6.05,69.22,2.06,3.07,1.59,2.28,96.4,6.42,-999.0,4.97,90.58,1.31
2000,2,13,4.97,4.81,-999.0,1.08,-999.0,2.2,10.1,19.07,2.46,9.59,5.13,54.58,0.0,0.16,2.77,4.64,96.51,6.16,-999.0,4.0,90.7,2.52
2000,2,14,4.8,4.65,-999.0,1.28,-999.0,2.19,11.34,20.99,3.48,10.61,4.63,43.94,0.0,-2.08,2.95,3.63,96.61,6.4,-999.0,3.43,90.82,2.71
2000,2,15,3.3,4.67,-999.0,3.05,-999.0,1.57,14.08,22.45,7.41,13.09,6.62,40.15,0.0,-0.83,2.66,3.71,96.32,8.27,-999.0,3.8,90.6,2.32
2000,2,16,4.37,4.67,-999.0,1.94,-999.0,1.99,13.53,20.45,8.07,12.0,6.85,42.62,0.0,0.17,3.17,5.73,95.93,7.23,-999.0,4.05,90.23,2.68
2000,2,17,4.47,4.91,-999.0,2.52,-999.0,2.01,11.73,20.06,4.96,11.3,5.94,48.8,0.0,0.15,2.43,3.41,95.97,7.31,-999.0,4.03,90.23,2.3
2000,2,18,5.04,4.98,-999.0,1.51,-999.0,2.29,11.64,19.01,4.3,10.86,5.34,45.53,0.0,-0.96,1.66,3.19,96.17,6.39,-999.0,3.7,90.41,1.53
2000,2,19,4.56,4.91,-999.0,1.77,-999.0,2.09,11.02,20.04,4.38,10.5,4.69,45.53,0.44,-1.64,2.64,3.43,96.26,6.79,-999.0,3.53,90.48,2.41
2000,2,20,1.96,5.01,-999.0,1.76,-999.0,0.9,10.4,17.64,3.71,8.78,3.88,42.66,1.17,-2.63,2.82,3.66,96.26,7.85,-999.0,3.28,90.47,2.41
2000,2,21,5.19,5.2,-999.0,1.93,-999.0,2.35,11.73,19.01,4.3,10.2,4.65,40.24,0.0,-2.44,1.54,2.98,96.46,6.49,-999.0,3.3,90.69,1.33
2000,2,22,5.58,5.5,-999.0,0.69,-999.0,2.48,12.25,20.52,4.14,10.98,4.87,39.16,0.0,-2.52,2.18,3.09,96.57,6.45,-999.0,3.29,90.8,1.84
2000,2,23,5.24,5.33,-999.0,1.3,-999.0,2.38,12.77,21.68,5.84,12.45,5.73,41.81,0.0,-1.31,3.05,3.48,96.6,6.85,-999.0,3.62,90.84,2.77
2000,2,24,5.49,5.43,-999.0,1.37,-999.0,2.44,11.86,21.61,4.26,11.36,4.78,42.01,0.03,-2.29,3.88,5.08,96.55,6.0,-999.0,3.35,90.77,3.53
2000,2,25,5.49,5.41,-999.0,1.4,-999.0,2.44,12.78,22.7,3.84,11.67,4.5,36.11,0.0,-3.78,2.82,3.79,96.21,5.95,-999.0,3.02,90.47,2.59
2000,2,26,5.45,5.32,-999.0,1.2,-999.0,2.5,14.72,23.1,5.94,11.83,4.61,27.0,0.0,-5.5,1.53,2.41,96.11,6.55,-999.0,2.64,90.41,1.25
2000,2,27,5.47,5.41,-999.0,1.14,-999.0,2.53,14.72,23.8,6.59,13.14,5.94,33.26,0.0,-2.83,2.5,3.15,96.24,7.57,-999.0,3.27,90.54,2.12
2000,2,28,4.88,5.28,-999.0,1.83,-999.0,2.34,15.64,25.76,7.52,14.85,7.98,39.18,0.0,0.32,2.78,3.53,96.45,7.43,-999.0,4.11,90.75,2.59
2000,2,29,4.04,5.34,-999.0,2.14,-999.0,1.94,17.77,25.34,12.34,16.61,10.72,40.88,0.0,3.68,2.11,3.22,96.22,7.7,-999.0,5.21,90.58,1.82
2000,3,1,3.04,5.53,-999.0,2.76,-999.0,1.51,16.82,24.86,10.45,16.84,10.92,48.74,0.0,5.02,2.42,3.42,95.9,7.76,-999.0,5.72,90.26,2.35
2000,3,2,5.5,5.55,-999.0,1.86,-999.0,2.53,15.55,23.91,8.69,15.13,8.61,44.98,0.0,1.67,2.53,3.33,95.94,6.83,-999.0,4.58,90.27,2.25
2000,3,3,5.48,5.39,-999.0,1.78,-999.0,2.54,15.93,24.22,7.11,14.47,7.4,35.49,0.0,-1.13,2.43,3.32,95.93,6.91,-999.0,3.7,90.27,2.09
2000,3,4,2.31,5.74,-999.0,2.26,-999.0,1.14,13.61,21.24,6.45,13.57,7.03,45.16,0.0,0.46,3.79,7.2,95.51,8.22,-999.0,4.17,89.83,3.41
2000,3,5,5.86,5.78,-999.0,1.38,-999.0,2.65,12.47,21.51,5.17,12.75,6.22,49.71,0.0,-0.03,2.08,3.5,96.13,6.84,-999.0,4.03,90.39,1.98
2000,3,6,5.9,5.79,-999.0,1.23,-999.0,2.7,14.16,23.11,5.48,13.08,5.62,34.46,0.0,-2.91,2.5,3.9,95.87,6.83,-999.0,3.22,90.17,2.19
2000,3,7,5.91,5.81,-999.0,1.5,-999.0,2.67,15.2,23.97,7.91,14.02,6.88,36.03,0.17,-1.43,1.88,2.91,96.15,6.85,-999.0,3.65,90.47,1.61
2000,3,8,5.96,5.86,-999.0,1.38,-999.0,2.73,14.96,24.99,6.61,14.17,6.71,36.61,0.0,-1.54,3.84,5.41,96.31,6.85,-999.0,3.57,90.61,3.33
2000,3,9,5.95,5.85,-999.0,1.25,-999.0,2.78,16.8,27.29,6.77,14.99,6.99,31.07,0.0,-2.82,3.0,3.82,95.89,7.06,-999.0,3.29,90.24,2.61
2000,3,10,4.94,5.96,-999.0,2.56,-999.0,2.32,17.75,26.52,9.16,16.17,8.16,31.02,0.0,-1.44,2.65,3.52,95.63,7.69,-999.0,3.7,90.02,2.32
2000,3,11,5.65,5.81,-999.0,2.09,-999.0,2.62,17.78,26.6,9.5,17.51,10.58,41.46,0.0,3.39,2.55,3.58,95.55,7.79,-999.0,5.13,89.94,2.39
2000,3,12,6.12,6.01,-999.0,1.46,-999.0,2.81,17.66,26.9,10.26,17.01,9.46,38.08,0.0,1.25,3.21,3.89,95.51,7.03,-999.0,4.44,89.91,2.77
2000,3,13,5.77,6.07,-999.0,2.32,-999.0,2.65,18.14,25.88,11.27,16.42,9.11,31.67,0.0,0.07,1.47,1.96,95.71,7.12,-999.0,4.05,90.1,1.18
2000,3,14,5.09,6.1,-999.0,2.19,-999.0,2.39,17.44,26.83,9.67,16.99,8.74,35.35,0.0,0.03,2.12,3.09,96.09,7.35,-999.0,4.05,90.45,1.88
2000,3,15,6.22,6.08,-999.0,1.32,-999.0,2.9,18.52,27.63,8.18,16.66,8.28,29.03,0.0,-1.97,3.16,5.26,96.03,7.16,-999.0,3.49,90.41,2.65
2000,3,16,6.02,6.09,-999.0,2.15,-999.0,2.77,18.78,27.66,11.0,17.51,8.99,30.0,0.04,-0.79,3.17,5.08,95.67,7.63,-999.0,3.84,90.08,2.9
2000,3,17,4.04,5.96,-999.0,3.49,-999.0,1.99,17.67,27.37,9.72,17.72,9.08,35.38,0.21,0.49,3.81,4.77,95.47,7.92,-999.0,4.18,89.87,3.91
2000,3,18,6.2,6.21,-999.0,2.53,-999.0,2.84,17.14,26.78,9.38,17.13,8.0,35.62,0.49,-1.14,2.16,3.81,95.81,6.87,-999.0,3.84,90.18,2.05
2000,3,19,6.2,6.21,-999.0,2.55,-999.0,2.87,17.32,26.86,9.78,16.04,6.0,24.34,0.0,-5.31,2.6,3.55,96.22,7.03,-999.0,2.71,90.57,2.15
2000,3,20,2.63,6.31,-999.0,2.5,-999.0,1.27,17.56,25.81,8.87,16.45,6.25,23.86,0.01,-5.07,2.11,3.05,96.04,8.12,-999.0,2.79,90.4,1.82
2000,3,21,2.92,6.35,-999.0,2.57,-999.0,1.3,18.4,25.52,12.75,17.69,9.18,31.02,0.01,-0.04,2.52,3.49,96.02,8.67,-999.0,4.06,90.4,2.28
2000,3,22,4.67,6.09,-999.0,3.36,-999.0,2.21,18.39,26.28,10.92,18.92,10.89,40.75,0.71,3.39,2.58,3.69,96.12,8.79,-999.0,5.09,90.5,2.29
2000,3,23,6.71,6.71,-999.0,1.32,-999.0,3.08,18.64,27.35,9.46,17.89,9.92,36.46,1.12,1.19,2.76,4.86,96.18,7.17,-999.0,4.4,90.56,2.31
2000,3,24,6.68,6.72,-999.0,1.39,-999.0,3.11,19.35,29.11,10.7,18.69,9.11,29.06,0.0,-1.12,2.45,4.36,96.59,7.25,-999.0,3.69,90.95,2.09
2000,3,25,6.02,6.73,-999.0,2.91,-999.0,2.79,21.34,33.78,10.65,21.44,9.95,25.83,0.0,-1.43,3.5,5.33,96.24,7.82,-999.0,3.6,90.67,3.34
2000,3,26,6.57,6.64,-999.0,1.49,-999.0,3.15,22.45,32.19,13.91,21.22,10.86,23.93,0.0,-0.73,2.8,4.2,96.26,8.29,-999.0,3.79,90.7,2.31
2000,3,27,5.98,6.66,-999.0,2.93,-999.0,2.82,24.06,31.95,15.12,22.8,12.02,22.27,0.0,-0.02,2.29,3.44,96.19,8.68,-999.0,3.98,90.66,1.87
2000,3,28,6.03,6.43,-999.0,2.46,-999.0,2.88,25.73,34.21,16.94,24.71,13.7,22.94,0.0,1.68,2.05,3.13,96.17,8.61,-999.0,4.5,90.67,1.61
2000,3,29,5.68,6.62,-999.0,2.98,-999.0,2.71,25.75,34.46,17.15,26.14,14.3,25.72,0.41,2.84,2.47,3.26,96.13,8.85,-999.0,4.93,90.64,2.35
2000,3,30,4.8,6.66,-999.0,4.01,-999.0,2.33,23.45,30.8,16.6,23.21,13.11,28.09,0.09,2.78,2.53,4.68,96.06,9.18,-999.0,4.88,90.53,2.4
2000,3,31,4.1,6.71,-999.0,3.5,-999.0,1.93,22.83,31.01,15.84,23.48,12.74,28.14,0.19,2.64,4.31,7.34,95.83,8.85,-999.0,4.82,90.3,3.97
2000,4,1,6.89,6.96,-999.0,2.0,-999.0,3.22,23.06,32.39,15.14,23.75,11.65,25.2,0.01,0.24,4.11,5.87,95.95,7.85,-999.0,4.1,90.42,3.78
2000,4,2,6.87,7.0,-999.0,2.19,-999.0,3.16,23.84,34.48,13.88,23.85,9.58,16.85,0.0,-4.67,4.11,5.91,95.66,7.92,-999.0,2.79,90.16,3.6
2000,4,3,7.01,7.1,-999.0,1.66,-999.0,3.28,26.22,35.31,16.01,24.87,10.17,12.73,0.0,-5.87,1.96,3.01,95.51,7.92,-999.0,2.52,90.06,1.54
2000,4,4,6.65,6.99,-999.0,2.09,-999.0,3.16,25.25,35.93,14.7,25.05,8.37,10.97,0.0,-8.51,3.82,6.2,95.45,7.93,-999.0,2.06,89.99,3.54
2000,4,5,6.87,6.94,-999.0,2.26,-999.0,3.23,22.95,34.03,11.32,23.42,5.28,9.53,0.0,-12.39,2.36,4.26,95.59,7.85,-999.0,1.4,90.08,2.32
2000,4,6,6.82,7.04,-999.0,2.44,-999.0,3.2,24.93,34.5,14.4,23.83,6.36,7.91,0.0,-12.22,2.03,3.43,95.6,8.4,-999.0,1.42,90.13,1.64
2000,4,7,5.64,6.94,-999.0,3.93,-999.0,2.7,24.72,32.15,18.6,25.51,11.79,18.85,0.0,-1.15,4.54,7.61,95.92,9.57,-999.0,3.82,90.42,3.82
2000,4,8,7.15,7.19,-999.0,1.08,-999.0,3.44,25.48,35.6,16.5,26.37,12.83,21.87,0.0,0.18,3.97,5.28,95.93,8.7,-999.0,4.05,90.45,3.58
2000,4,9,7.26,7.42,-999.0,2.17,-999.0,3.33,25.63,36.41,15.76,26.06,8.49,11.76,0.0,-8.66,3.91,5.09,95.56,7.3,-999.0,2.08,90.09,3.47
2000,4,10,7.36,7.53,-999.0,2.27,-999.0,3.34,27.26,39.6,16.29,26.83,7.29,6.56,0.0,-12.67,2.78,4.1,95.46,7.57,-999.0,1.3,90.03,2.37
2000,4,11,7.26,7.43,-999.0,1.46,-999.0,3.46,29.6,40.37,19.25,28.22,10.28,7.57,0.0,-9.04,2.48,3.96,95.47,7.98,-999.0,1.89,90.08,1.98
2000,4,12,7.24,7.43,-999.0,1.32,-999.0,3.48,31.98,41.9,21.5,30.5,12.32,7.81,0.0,-7.35,1.83,2.48,95.43,8.37,-999.0,2.16,90.08,1.45
2000,4,13,6.0,7.06,-999.0,2.94,-999.0,2.85,30.64,40.12,21.1,30.38,12.81,10.14,0.0,-5.02,3.49,4.95,95.23,9.39,-999.0,2.71,89.88,2.99
2000,4,14,6.61,6.92,-999.0,2.46,-999.0,3.27,29.88,38.59,22.63,30.54,17.02,21.33,0.6,4.15,2.73,7.03,95.09,9.25,-999.0,5.43,89.73,2.44
2000,4,15,6.86,6.87,-999.0,3.59,-999.0,3.35,28.59,37.15,19.55,29.76,16.07,23.72,0.0,3.55,2.14,3.16,95.46,9.18,-999.0,5.27,90.05,1.79
2000,4,16,7.03,7.14,-999.0,2.3,-999.0,3.39,29.34,38.66,19.69,30.81,14.49,16.0,0.0,-0.36,2.56,3.71,95.6,8.99,-999.0,3.88,90.2,2.34
2000,4,17,6.83,7.19,-999.0,2.78,-999.0,3.3,30.23,40.3,20.79,31.45,13.61,12.42,0.0,-3.01,2.97,3.69,95.45,9.07,-999.0,3.15,90.07,2.71
2000,4,18,7.3,7.52,-999.0,1.59,-999.0,3.54,31.4,41.38,21.87,32.74,15.04,13.23,0.0,-1.32,2.32,3.46,95.42,9.24,-999.0,3.59,90.07,2.13
2000,4,19,6.53,7.0,-999.0,2.7,-999.0,3.23,32.28,40.72,24.42,33.09,16.47,14.24,0.0,0.66,2.19,3.94,95.46,9.32,-999.0,4.17,90.12,2.16
2000,4,20,7.3,7.49,-999.0,1.6,-999.0,3.58,32.53,42.32,22.33,32.57,16.34,14.06,0.02,0.15,3.56,5.46,95.29,9.3,-999.0,4.06,89.96,2.96
2000,4,21,6.51,7.32,-999.0,2.59,-999.0,3.23,32.29,41.52,22.35,32.9,16.22,13.74,0.0,0.14,3.5,4.95,95.12,9.53,-999.0,4.04,89.8,3.26
2000,4,22,5.89,7.57,-999.0,3.12,-999.0,2.98,31.21,38.0,23.23,32.2,17.5,18.57,0.0,3.8,1.58,3.05,95.36,9.66,-999.0,5.24,90.0,1.42
